AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
EPSC,2010-02-01,2.0,0.0,-0.4413213131537282,0.20050685337532745,0.0,0.19945166321978727,0.2350642671888119,0.0,0.1371838214523338,0.0,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
EPSG,2010-02-01,2.0,0.18209662249824998,0.24885286469209097,-2.1457481889250145,0.3145360451440205,0.08200173189015815,0.0,-0.6182980223930648,-2.1457481889250145,0.10061203710393124,-0.053368892970301056,-0.46865325939994573,-0.4912462191405348,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.3740087702196055
ESSC,2010-02-01,2.0,0.0,0.2989300974987567,0.2472419925585764,0.0,0.24849363792926807,0.23571192835356966,0.0,1.6294147509743813,3.9673400537627157,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.1971656597179595
GASC,2010-02-01,2.0,0.0,0.5756631950133363,0.3408129494086502,0.0,0.0,0.0,-0.6509955781350976,0.3408129494086502,0.35158560682771883,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0002018101254458481
GECC,2010-02-01,2.0,0.0,-0.46943308459399224,0.5291772448925558,0.0,0.5044890214307085,0.0,0.0,0.5291772448925558,0.0,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
GECG,2010-02-01,2.0,0.2630139750007951,0.14813011011055566,-1.1691148207375892,0.3527404044173725,-0.06788994682059424,0.0,-0.5299347387591872,-1.1691148207375892,0.21870882053011242,-0.05588252921585418,-0.4684731120356447,-0.4918619056360097,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.4265079189287987
GNCC,2010-02-01,2.0,0.0,0.38172250403477004,0.1353199204372756,0.0,0.10451929460264625,-0.06683274157383699,-0.24938637900281208,0.23317899686447427,0.23232042699288943,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.17293800858571964
HIMG,2010-02-01,2.0,0.5162507274251855,0.33856082046944325,0.5774809018130934,0.4300548702900573,0.20196209807358617,0.0,-0.4379054888226429,0.5774809018130934,0.42758350391140626,-0.05545465781920013,-0.46873496175322343,-0.4913711748228318,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.24896800921299037
ISGC,2010-02-01,2.0,0.0,-0.1992347144160685,0.2302661869264938,0.0,0.23589188156146945,0.0,0.0,0.2343392363255838,0.0,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
ISGG,2010-02-01,2.0,0.13851801233772898,0.41725617234842177,-0.41329369120230486,0.2825290917489875,-0.004926906656510625,0.0,-0.6428368204689063,-0.41329369120230486,0.06301944567216738,-0.05749378942859566,-0.46876029182723894,-0.4919030028115236,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.4484447933066609
